City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
328,Mirabad,AF,30.4362,61.8383,89.06,12,0,17.69,clear sky
329,Barguzin,RU,53.6167,109.6167,55.81,86,8,0.54,clear sky
330,Malakal,SS,9.5334,31.6605,70.84,96,99,0.67,overcast clouds
331,Longyearbyen,SJ,78.2186,15.6401,46.24,71,75,19.57,broken clouds
332,Isangel,VU,-19.55,169.2667,67.59,67,84,11.41,broken clouds
333,Penalva,BR,-3.2942,-45.1736,87.87,49,98,1.72,overcast clouds
334,Port-Gentil,GA,-0.7193,8.7815,76.24,82,100,13.22,overcast clouds
335,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,93.7,23,48,11.01,scattered clouds
336,Leeton,AU,-34.5667,146.4,39.63,87,1,5.73,clear sky
337,Talnakh,RU,69.4865,88.3972,54.88,91,100,5.06,overcast clouds
338,Tazovskiy,RU,67.4667,78.7,53.17,71,100,9.31,overcast clouds
339,Ribeira Grande,PT,38.5167,-28.7,75.6,88,40,13.8,scattered clouds
340,Waingapu,ID,-9.6567,120.2641,74.62,84,68,7.76,broken clouds
341,Farsala,GR,39.2947,22.3847,90.34,32,1,3.15,clear sky
342,Deputatskiy,RU,69.3,139.9,39.16,81,5,3.76,clear sky
343,Laguna,US,38.421,-121.4238,102.15,37,1,3.0,clear sky
344,Fort-Shevchenko,KZ,44.5086,50.263,82.87,47,8,10.74,clear sky
